"VPNID","NumberOfLanguages","InputPortugueseSchool","PortugueseFather","PortugueseMother","PortugueseParents","EducationFather","EducationMother","EducationParents","LanguageGroup","BilingualControl","RegionalLanguage","Time","Result"
"AD_PLF_20",2,50,6,6,12,2,4,6,"Bilingual group (French)","bilingual","French","T3",7
"AD_PLF_21",2,50,6,6,12,3,2,5,"Bilingual group (French)","bilingual","French","T1",8
"AD_PLF_21",2,50,6,6,12,3,2,5,"Bilingual group (French)","bilingual","French","T2",7
"AD_PLF_21",2,50,6,6,12,3,2,5,"Bilingual group (French)","bilingual","French","T3",11
"AD_PLF_22",2,50,4,4,8,4,4,8,"Bilingual group (French)","bilingual","French","T1",7
"AD_PLF_22",2,50,4,4,8,4,4,8,"Bilingual group (French)","bilingual","French","T2",10
"AD_PLF_22",2,50,4,4,8,4,4,8,"Bilingual group (French)","bilingual","French","T3",9
"AD_PLF_24",2,45,6,6,12,5,5,10,"Bilingual group (French)","bilingual","French","T1",4
"AD_PLF_24",2,45,6,6,12,5,5,10,"Bilingual group (French)","bilingual","French","T2",7
"AD_PLF_24",2,45,6,6,12,5,5,10,"Bilingual group (French)","bilingual","French","T3",8
"AD_PLF_25",2,50,6,6,12,3,3,6,"Bilingual group (French)","bilingual","French","T1",10
"AD_PLF_25",2,50,6,6,12,3,3,6,"Bilingual group (French)","bilingual","French","T2",8
"AD_PLF_25",2,50,6,6,12,3,3,6,"Bilingual group (French)","bilingual","French","T3",14
"AD_PLF_26",2,50,2,6,8,NA,2,NA,"Bilingual group (French)","bilingual","French","T1",9
"AD_PLF_26",2,50,2,6,8,NA,2,NA,"Bilingual group (French)","bilingual","French","T2",NA
"AD_PLF_26",2,50,2,6,8,NA,2,NA,"Bilingual group (French)","bilingual","French","T3",8
"AE_PLF_1",3,25,3,6,9,2,3,5,"Bilingual group (French)","bilingual","French","T1",3
"AE_PLF_1",3,25,3,6,9,2,3,5,"Bilingual group (French)","bilingual","French","T2",5
"AE_PLF_1",3,25,3,6,9,2,3,5,"Bilingual group (French)","bilingual","French","T3",6
"AE_PLF_2",2,50,5,5,10,2,2,4,"Bilingual group (French)","bilingual","French","T1",6
"AE_PLF_2",2,50,5,5,10,2,2,4,"Bilingual group (French)","bilingual","French","T2",6
"AE_PLF_2",2,50,5,5,10,2,2,4,"Bilingual group (French)","bilingual","French","T3",8
"AE_PLF_4",2,50,6,6,12,3,2,5,"Bilingual group (French)","bilingual","French","T1",9
"AE_PLF_4",2,50,6,6,12,3,2,5,"Bilingual group (French)","bilingual","French","T2",7
"AE_PLF_4",2,50,6,6,12,3,2,5,"Bilingual group (French)","bilingual","French","T3",NA
"AE_PLF_6",3,25,3,6,9,2,3,5,"Bilingual group (French)","bilingual","French","T1",6
"AE_PLF_6",3,25,3,6,9,2,3,5,"Bilingual group (French)","bilingual","French","T2",7
"AE_PLF_6",3,25,3,6,9,2,3,5,"Bilingual group (French)","bilingual","French","T3",7
"C_PLF_1",2,20,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T1",12
"C_PLF_1",2,20,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T2",15
"C_PLF_1",2,20,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T3",18
"C_PLF_7",2,NA,3,3,6,1,1,2,"Bilingual group (French)","bilingual","French","T1",10
"C_PLF_7",2,NA,3,3,6,1,1,2,"Bilingual group (French)","bilingual","French","T2",NA
"C_PLF_7",2,NA,3,3,6,1,1,2,"Bilingual group (French)","bilingual","French","T3",11
"C_PLF_16",2,75,5,5,10,1,2,3,"Bilingual group (French)","bilingual","French","T1",13
"C_PLF_16",2,75,5,5,10,1,2,3,"Bilingual group (French)","bilingual","French","T2",16
"C_PLF_16",2,75,5,5,10,1,2,3,"Bilingual group (French)","bilingual","French","T3",17
"C_PLF_19",2,50,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T1",13
"C_PLF_19",2,50,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T2",12
"C_PLF_19",2,50,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T3",11
"D_PLF_1",2,30,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T1",7
"D_PLF_1",2,30,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T2",9
"D_PLF_1",2,30,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T3",12
