Participant,Construction,Accent,Speaker,proportion_correct
S556,DO,Accent,Idan,0.1111111111111111
S556,PO,Accent,Idan,0
S557,DO,None,Nezar,0.8
S557,PO,None,Nezar,0.9
S559,DO,Accent,Nezar,0
S559,PO,Accent,Nezar,0
S56,DO,None,Nezar,0.5
S56,PO,None,Nezar,1
S560,DO,Accent,Idan,0
S560,PO,Accent,Idan,0.2222222222222222
S562,DO,None,Nezar,0.1
S562,PO,None,Nezar,0.2222222222222222
S570,DO,Accent,Nezar,0.5
S570,PO,Accent,Nezar,0.6
S572,DO,Accent,Idan,0
S572,PO,Accent,Idan,0.6666666666666666
S573,DO,Accent,Nezar,0.3333333333333333
S573,PO,Accent,Nezar,0.4444444444444444
S576,DO,Accent,Nezar,0.5555555555555556
S576,PO,Accent,Nezar,0.3333333333333333
S579,DO,Accent,Idan,0.1111111111111111
S579,PO,Accent,Idan,0
S581,DO,Accent,Nezar,0.3
S581,PO,Accent,Nezar,1
S582,DO,Accent,Idan,0.125
S582,PO,Accent,Idan,0.8888888888888888
S584,DO,Accent,Idan,0
S584,PO,Accent,Idan,0
S585,DO,Accent,Idan,0.875
S585,PO,Accent,Idan,1
S586,DO,None,Idan,0.8888888888888888
S586,PO,None,Idan,1
S587,DO,Accent,Idan,1
S587,PO,Accent,Idan,1
S593,DO,None,Idan,0.1111111111111111
S593,PO,None,Idan,0
S595,DO,Accent,Idan,0.25
S595,PO,Accent,Idan,0.8888888888888888
S596,DO,None,Idan,0.2222222222222222
S596,PO,None,Idan,0
S597,DO,Accent,Idan,0
S597,PO,Accent,Idan,1
S598,DO,Accent,Nezar,0
S598,PO,Accent,Nezar,0
S599,DO,None,Idan,0.3333333333333333
S599,PO,None,Idan,0.9
S600,DO,Accent,Nezar,0.4444444444444444
S600,PO,Accent,Nezar,0.3333333333333333
S604,DO,None,Nezar,0.8
S604,PO,None,Nezar,1
S606,DO,None,Idan,0.4444444444444444
S606,PO,None,Idan,0.9
S607,DO,Accent,Nezar,0.9
S607,PO,Accent,Nezar,0.9
S608,DO,Accent,Idan,0.7777777777777778
S608,PO,Accent,Idan,0.7777777777777778
S611,DO,Accent,Nezar,0
S611,PO,Accent,Nezar,0.8
S613,DO,Accent,Nezar,0.6666666666666666
S613,PO,Accent,Nezar,0.8888888888888888
S616,DO,None,Nezar,1
S616,PO,None,Nezar,0.8
S618,DO,Accent,Idan,0
S618,PO,Accent,Idan,0.8888888888888888
S620,DO,None,Nezar,0.9
S620,PO,None,Nezar,0.8888888888888888
S625,DO,None,Idan,0.3333333333333333
S625,PO,None,Idan,0.5
S626,DO,None,Nezar,0.9
S626,PO,None,Nezar,1
S629,DO,None,Idan,0.8888888888888888
S629,PO,None,Idan,1
S633,DO,Accent,Idan,0.75
S633,PO,Accent,Idan,0.8888888888888888
S634,DO,Accent,Idan,0.2222222222222222
S634,PO,Accent,Idan,0
S643,DO,None,Idan,0.1111111111111111
S643,PO,None,Idan,0.9
S645,DO,Accent,Nezar,0.9
S645,PO,Accent,Nezar,0.9
S65,DO,Accent,Nezar,0.4444444444444444
S65,PO,Accent,Nezar,1
S651,DO,Accent,Nezar,0.2222222222222222
S651,PO,Accent,Nezar,0.6666666666666666
S655,DO,None,Nezar,1
S655,PO,None,Nezar,1
S658,DO,Accent,Nezar,0.1111111111111111
S658,PO,Accent,Nezar,0
S660,DO,Accent,Idan,0.6666666666666666
S660,PO,Accent,Idan,0.7777777777777778
S662,DO,None,Idan,1
S662,PO,None,Idan,1
S666,DO,None,Idan,0.2222222222222222
S666,PO,None,Idan,0.8
S667,DO,None,Nezar,0.5
S667,PO,None,Nezar,0.7
S668,DO,None,Idan,0.1111111111111111
S668,PO,None,Idan,0.375
S669,DO,Accent,Idan,0.375
S669,PO,Accent,Idan,0.5555555555555556
S67,DO,None,Nezar,0.6
S67,PO,None,Nezar,0.4444444444444444
S670,DO,None,Nezar,0.7
S670,PO,None,Nezar,0.7777777777777778
S675,DO,None,Idan,0.6666666666666666
S675,PO,None,Idan,1
S68,DO,Accent,Idan,1
S68,PO,Accent,Idan,0.7777777777777778
S682,DO,Accent,Nezar,1
S682,PO,Accent,Nezar,1
S697,DO,None,Nezar,0.8
S697,PO,None,Nezar,1
S698,DO,None,Idan,1
S698,PO,None,Idan,0.9
S699,DO,Accent,Idan,0.125
S699,PO,Accent,Idan,0.4444444444444444
S7,DO,None,Nezar,0.8
S7,PO,None,Nezar,0.8888888888888888
S704,DO,None,Nezar,0.3
S704,PO,None,Nezar,0.5
S708,DO,None,Idan,0.3333333333333333
S708,PO,None,Idan,0.5
S709,DO,Accent,Idan,0.5555555555555556
S709,PO,Accent,Idan,0.4444444444444444
S717,DO,Accent,Idan,0.25
S717,PO,Accent,Idan,1
S718,DO,Accent,Nezar,0
S718,PO,Accent,Nezar,0.2222222222222222
S720,DO,None,Nezar,0.9
S720,PO,None,Nezar,0.8
S722,DO,None,Idan,1
S722,PO,None,Idan,0.75
S723,DO,None,Idan,0.1111111111111111
S723,PO,None,Idan,0.125
S729,DO,None,Nezar,0.3
S729,PO,None,Nezar,0.8
S73,DO,None,Nezar,0.6
S73,PO,None,Nezar,0.3
S733,DO,None,Idan,0.8888888888888888
S733,PO,None,Idan,1
S736,DO,None,Idan,0.5555555555555556
S736,PO,None,Idan,0.875
