"Stimulus","Subject","Hand","Session","Block","Mode","Trial","Response","RT","Translation","Correct","Spoken","Written","SpokenProfile","WrittenProfile","Sequence","PositionInSession","Sex","Age","L1","OtherLanguages","NrLang","DS.Span","DS.Total","WST.Right","WST.Wrong","Raven.Right","English.Total","English.MC","English.Cloze","LDT.Hits","LDT.FalseAlarms","LDT.WordRT","LDT.NonwordRT","LDT.APrime","LDT.AverageRT","Simon.CorrectCongruent","Simon.CorrectIncongruent","Simon.CongruentRT","Simon.IncongruentRT","Simon.RTRatio","Simon.RTDifference","HD_LV_Niveau","HD_HV_Niveau","FR_LV_Niveau","FR_HV_Niveau","EN_LV_Niveau","EN_HV_Niveau","ProfileRight","zEnglish.MC","zEnglish.Cloze","English.Overall","Nonresponses","Status","Duration","Swedish","German","English","French","EnglishCognate","SwedishVoc","GermanVoc","EnglishVoc","FrenchVoc","SwedishCons","GermanCons","EnglishCons","FrenchCons","LevGer","LevEng","LevFre","ClosestCognate","MinLev","LevGerCons","LevEngCons","LevFreCons","ClosestCognateCons","MinLevCons","LevGerVoc","LevEngVoc","LevFreVoc","ClosestCognateVoc","MinLevVoc","FreqGerman","FreqEnglish","FreqFrench","FreqTot","FrenchFreq","EnglishFreq","GermanFreq"
"agg","3172","right",1,2,"Auditory",19,"yes",2198,"ich","0",14,12,0,0,"CADB",1,"male",16,"monolingual","English, French",2,6,8,23,0,17,19,8,11,1,0,326.5,432,1,379.25,1,1,420,413.5,0.9845238095,-6.5,4,5,1,1,3,3,FALSE,-1.2274562977,-0.538052596,-1.7655088936,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","4155","right",1,1,"Auditory",23,"yes",1078,"eng","0",22,23,1,0,"DBCA",3,"female",33,"monolingual","English, French, Italian, Spanish",4,4,6,35,0,27,42,20,22,1,0.05,265.5,1025,0.9875,645.25,1,0.9285714286,415.5,388,0.9338146811,-27.5,6,6,5,5,5,5,TRUE,1.3737755914,1.0890480379,2.4628236293,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","1976","right",1,2,"Auditory",14,"no",1116,"","0",11,13,0,0,"ADBC",4,"male",11,"bilingual","French",1,3,3,15,17,18,9,5,4,1,0.3,607,901.5,0.925,754.25,0.7857142857,0.8571428571,498,498,1,0,6,6,5,5,1,1,FALSE,-1.87776427,-1.573480272,-3.451244542,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","8968","right",1,1,"Auditory",1,"yes",3011,"eng","0",17,16,0,0,"CADB",1,"male",25,"monolingual","English, French",2,4,6,31,0,21,26,14,12,0.95,0,336,349,0.9875,342.5,1,0.9285714286,349.5,460,1.3161659514,110.5,1,1,3,1,5,3,FALSE,0.0731596469,-0.3901343565,-0.3169747096,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","5277","right",1,2,"Auditory",27,"yes",3296,"eng","0",16,15,0,0,"CADB",1,"male",27,"monolingual","English, French, Spanish",3,5,7,29,0,29,NA,NA,NA,1,0.05,174.5,175,0.9875,174.75,1,1,363.5,354,0.9738651994,-9.5,6,6,2,1,4,3,FALSE,NA,NA,-0.8673106478,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","8443","right",1,2,"Auditory",4,"yes",2962,"eins","0",18,25,0,0,"BCAD",2,"female",71,"monolingual","English, French, Italian, Spanish, Rumantsch",5,4,5,33,0,0,36,17,19,1,0.05,323,654,0.9875,488.5,1,1,557,543,0.9748653501,-14,6,6,6,6,6,6,FALSE,0.7234676192,0.6452933196,1.3687609387,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","6537","right",1,1,"Auditory",30,"no",1505,"","0",23,30,1,0,"CBDA",1,"female",35,"monolingual","English, French, Spanish",3,5,7,35,0,24,41,18,23,1,0,255.5,420,1,337.75,1,1,454.5,408,0.897689769,-46.5,6,6,5,5,4,4,TRUE,0.9402369433,1.2369662773,2.1772032206,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","3704","right",1,1,"Auditory",34,"yes",3226,"eng","0",20,29,0,0,"ACBD",2,"male",72,"monolingual","English, French, Italian, Spanish",4,4,5,35,0,26,40,18,22,1,0,303,573.5,1,438.25,1,1,520.5,464,0.8914505283,-56.5,6,6,4,4,3,3,FALSE,0.9402369433,1.0890480379,2.0292849811,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","4932","right",1,1,"Auditory",25,"yes",1128,"eng","0",19,21,0,0,"CBDA",1,"female",16,"monolingual","English, French",2,5,8,32,2,19,29,14,15,1,0.1,249,348,0.975,298.5,0.8571428571,1,417,345,0.8273381295,-72,6,6,3,2,3,3,FALSE,0.0731596469,0.0536203618,0.1267800087,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","2846","right",1,2,"Auditory",2,"no",947,"","0",6,3,0,0,"DACB",3,"female",11,"monolingual","English, French, Italian",3,4,6,4,0,15,6,6,0,1,0.1,571.5,792,0.975,681.75,0.8571428571,0.7857142857,451,415,0.9201773836,-36,3,1,1,1,2,3,FALSE,-1.6609949459,-2.1651532298,-3.8261481756,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
