Participant,Construction,Accent,Speaker,Item,Correct
S131,PO,None,Nezar,18,TRUE
S131,DO,None,Nezar,8,TRUE
S131,PO,None,Nezar,2,TRUE
S131,DO,None,Nezar,4,TRUE
S131,DO,None,Nezar,17,TRUE
S131,PO,None,Nezar,12,TRUE
S131,DO,None,Nezar,1,TRUE
S131,PO,None,Nezar,16,TRUE
S131,DO,None,Nezar,6,TRUE
S131,PO,None,Nezar,3,TRUE
S131,PO,None,Nezar,7,TRUE
S131,DO,None,Nezar,13,TRUE
S131,DO,None,Nezar,20,TRUE
S131,DO,None,Nezar,15,TRUE
S131,PO,None,Nezar,5,TRUE
S131,PO,None,Nezar,9,TRUE
S131,DO,None,Nezar,11,TRUE
S131,DO,None,Nezar,19,TRUE
S132,PO,None,Nezar,3,TRUE
S132,DO,None,Nezar,11,FALSE
S132,DO,None,Nezar,8,FALSE
S132,DO,None,Nezar,17,FALSE
S132,PO,None,Nezar,9,FALSE
S132,DO,None,Nezar,6,FALSE
S132,PO,None,Nezar,7,FALSE
S132,DO,None,Nezar,15,FALSE
S132,PO,None,Nezar,16,TRUE
S132,PO,None,Nezar,2,FALSE
S132,PO,None,Nezar,5,TRUE
S132,DO,None,Nezar,1,FALSE
S132,PO,None,Nezar,12,FALSE
S132,DO,None,Nezar,20,FALSE
S132,PO,None,Nezar,10,FALSE
S132,PO,None,Nezar,18,TRUE
S132,DO,None,Nezar,13,FALSE
S132,DO,None,Nezar,19,FALSE
S132,DO,None,Nezar,4,FALSE
S133,PO,Accent,Idan,2,TRUE
S133,DO,Accent,Idan,17,FALSE
S133,PO,Accent,Idan,5,TRUE
S133,DO,Accent,Idan,4,FALSE
S133,PO,Accent,Idan,14,FALSE
S133,PO,Accent,Idan,16,TRUE
S133,PO,Accent,Idan,9,TRUE
S133,DO,Accent,Idan,1,FALSE
S133,DO,Accent,Idan,15,TRUE
S133,PO,Accent,Idan,12,TRUE
S133,PO,Accent,Idan,3,TRUE
S133,PO,Accent,Idan,18,TRUE
S133,DO,Accent,Idan,19,FALSE
S133,DO,Accent,Idan,6,FALSE
S133,DO,Accent,Idan,11,FALSE
S133,DO,Accent,Idan,13,FALSE
S133,PO,Accent,Idan,7,TRUE
S135,PO,None,Idan,8,TRUE
S135,DO,None,Idan,2,TRUE
S135,DO,None,Idan,16,FALSE
S135,DO,None,Idan,12,TRUE
S135,DO,None,Idan,10,FALSE
S135,PO,None,Idan,19,TRUE
S135,PO,None,Idan,11,TRUE
S135,PO,None,Idan,20,TRUE
S135,DO,None,Idan,3,FALSE
S135,PO,None,Idan,17,TRUE
S135,PO,None,Idan,15,TRUE
S135,DO,None,Idan,9,TRUE
S135,DO,None,Idan,18,FALSE
S135,PO,None,Idan,4,TRUE
S135,DO,None,Idan,7,TRUE
S135,PO,None,Idan,13,TRUE
S135,DO,None,Idan,14,FALSE
S136,DO,Accent,Idan,7,FALSE
S136,DO,Accent,Idan,16,FALSE
S136,PO,Accent,Idan,4,TRUE
S136,DO,Accent,Idan,18,FALSE
